date,total_assets,cash,stock_value,n_positions,n_buys,n_sells,daily_return,cumulative_return
2026-04-01,997296,96119,901177,10,10,0,,-0.002704
2026-04-02,977582,96119,881463,10,0,0,-0.019767,-0.022418
2026-04-03,970066,90773,879292,10,1,1,-0.007689,-0.029934
2026-04-07,976408,90773,885635,10,0,0,0.006538,-0.023592
2026-04-08,1016144,90773,925371,10,0,0,0.040696,0.016144
2026-04-09,1004272,90773,913499,10,0,0,-0.011683,0.004272
2026-04-10,1014720,90773,923946,10,0,0,0.010403,0.01472
2026-04-13,1016691,44943,971748,10,1,1,0.001942,0.016691
2026-04-14,1032794,44943,987851,10,0,0,0.015839,0.032794
2026-04-15,1011178,44943,966235,10,0,0,-0.02093,0.011178
2026-04-16,1022443,71911,950532,10,2,2,0.01114,0.022443
2026-04-17,1029124,71911,957213,10,0,0,0.006534,0.029124
2026-04-20,1037693,183780,853913,10,2,2,0.008327,0.037693
2026-04-21,1036643,183780,852863,10,0,0,-0.001012,0.036643
2026-04-22,1044190,165257,878933,10,2,2,0.00728,0.04419
2026-04-23,1049804,181358,868446,10,1,1,0.005377,0.049804
2026-04-24,1040434,97330,943104,10,2,2,-0.008926,0.040434
2026-04-27,1075330,97330,978000,10,0,0,0.033539,0.07533
2026-04-28,1073203,19104,1054099,10,2,2,-0.001978,0.073203
2026-04-29,1078248,75095,1003153,10,1,1,0.004701,0.078248
2026-04-30,1059083,75095,983988,10,0,0,-0.017774,0.059083
2026-05-06,1087436,75095,1012341,10,0,0,0.026772,0.087436
2026-05-07,1096578,63171,1033407,10,2,2,0.008407,0.096578
2026-05-08,1090886,4182,1086704,10,1,1,-0.005191,0.090886
