date,total_assets,cash,stock_value,n_positions,n_buys,n_sells,daily_return,cumulative_return
2026-04-01,100000000,100000000,0,0,0,0,,0.0
2026-04-02,100000000,100000000,0,0,0,0,0.0,0.0
2026-04-03,99999252,95011602,4987650,1,1,0,-7e-06,-7e-06
2026-04-06,100041554,90023354,10018200,2,1,0,0.000423,0.000416
2026-04-07,99975204,90023354,9951850,2,0,0,-0.000663,-0.000248
2026-04-08,100439339,80283739,20155600,4,3,1,0.004643,0.004393
2026-04-09,100599095,65620065,34979030,7,4,1,0.001591,0.005991
2026-04-10,101235837,60563207,40672630,8,1,0,0.006329,0.012358
2026-04-13,101277566,61164256,40113310,8,2,2,0.000412,0.012776
2026-04-14,102025792,56071492,45954300,9,1,0,0.007388,0.020258
2026-04-15,103390787,82718727,20672060,4,0,5,0.013379,0.033908
2026-04-16,103865831,77862691,26003140,5,2,1,0.004595,0.038658
2026-04-17,103764571,83116371,20648200,4,0,1,-0.000975,0.037646
2026-04-20,103618311,83116371,20501940,4,0,0,-0.00141,0.036183
2026-04-21,103494319,87837199,15657120,3,0,1,-0.001197,0.034943
2026-04-22,103517759,87837199,15680560,3,0,0,0.000226,0.035178
2026-05-15,101653710,96557810,5095900,1,0,2,-0.018007,0.016537
