datetime,action,ticker,price,qty,amount,entry_price,hold_days,realized_pnl,realized_pnl_pct,fee_paid,tax_paid,reason,stage1_prob,stage2_prob
2026-04-03 00:00:00,BUY,081660,40550.0,123,4987650,,,,,748,,,0.573124243412334,0.5402661450789532
2026-04-06 00:00:00,BUY,161580,37500.0,133,4987500,,,,,748,,,0.5813581586358407,0.6134926629794213
2026-04-08 00:00:00,SELL,161580,39900.0,133,5306700,37500.0,3,319200,0.064,796,10613,take_profit,0.5813581586358407,0.6134926629794213
2026-04-08 00:00:00,BUY,348370,37150.0,135,5015250,,,,,752,,,0.6540860947553149,0.6034822302300096
2026-04-08 00:00:00,BUY,160190,35800.0,140,5012000,,,,,752,,,0.5851852357529234,0.6264757827299821
2026-04-08 00:00:00,BUY,171090,86300.0,58,5005400,,,,,751,,,0.5781054992445818,0.6004612807879625
2026-04-09 00:00:00,SELL,160190,38500.0,140,5390000,35800.0,2,378000,0.075419,808,10780,take_profit,0.5851852357529234,0.6264757827299821
2026-04-09 00:00:00,BUY,065350,55000.0,91,5005000,,,,,751,,,0.5845326782213353,0.6345025331312381
2026-04-09 00:00:00,BUY,067310,29800.0,168,5006400,,,,,751,,,0.5794935851961557,0.6287477377559406
2026-04-09 00:00:00,BUY,068760,55700.0,90,5013000,,,,,752,,,0.5860097569449518,0.5722219295183976
2026-04-09 00:00:00,BUY,030000,19140.0,262,5014680,,,,,752,,,0.6096817242487589,0.3502119553025758
2026-04-10 00:00:00,BUY,204270,16310.0,310,5056100,,,,,758,,,0.5733551621561284,0.6653455782237512
2026-04-13 00:00:00,SELL,067310,31600.0,168,5308800,29800.0,3,302400,0.060403,796,10618,take_profit,0.5794935851961557,0.6287477377559406
2026-04-13 00:00:00,SELL,204270,17440.0,310,5406400,16310.0,2,350300,0.069283,811,10813,take_profit,0.5733551621561284,0.6653455782237512
2026-04-13 00:00:00,BUY,041510,85800.0,59,5062200,,,,,759,,,0.5705780976487516,0.6175306048487614
2026-04-13 00:00:00,BUY,122870,51300.0,98,5027400,,,,,754,,,0.5702630906645604,0.6017853029439009
2026-04-14 00:00:00,BUY,035760,53600.0,95,5092000,,,,,764,,,0.6260359729976364,0.5226905086959209
2026-04-15 00:00:00,SELL,081660,42700.0,123,5252100,40550.0,9,264450,0.053021,788,10504,take_profit,0.573124243412334,0.5402661450789532
2026-04-15 00:00:00,SELL,348370,39150.0,135,5285250,37150.0,6,270000,0.053836,793,10570,take_profit,0.6540860947553149,0.6034822302300096
2026-04-15 00:00:00,SELL,171090,91200.0,58,5289600,86300.0,6,284200,0.056779,793,10579,take_profit,0.5781054992445818,0.6004612807879625
2026-04-15 00:00:00,SELL,065350,60600.0,91,5514600,55000.0,5,509600,0.101818,827,11029,take_profit,0.5845326782213353,0.6345025331312381
2026-04-15 00:00:00,SELL,041510,90900.0,59,5363100,85800.0,3,300900,0.059441,804,10726,take_profit,0.5705780976487516,0.6175306048487614
2026-04-16 00:00:00,SELL,122870,55500.0,98,5439000,51300.0,4,411600,0.081871,816,10878,take_profit,0.5702630906645604,0.6017853029439009
2026-04-16 00:00:00,BUY,462870,33700.0,154,5189800,,,,,778,,,0.5996449010962979,0.593817063365966
2026-04-16 00:00:00,BUY,352820,268000.0,19,5092000,,,,,764,,,0.6084045518719124,0.568806608180684
2026-04-17 00:00:00,SELL,068760,58500.0,90,5265000,55700.0,7,252000,0.050269,790,10530,take_profit,0.5860097569449518,0.5722219295183976
2026-04-21 00:00:00,SELL,352820,249000.0,19,4731000,268000.0,4,-361000,-0.070896,710,9462,stoploss,0.6084045518719124,0.568806608180684
2026-05-15 16:08:27,SELL,035760,43200.0,95,4104000,53600.0,8,-988000,-0.19403,616,8208,stoploss,0.6260359729976364,0.5226905086959209
2026-05-15 16:08:27,SELL,462870,30100.0,154,4635400,33700.0,6,-554400,-0.106825,695,9271,stoploss,0.5996449010962979,0.593817063365966
