date,total_assets,cash,stock_value,n_positions,n_buys,n_sells,daily_return,cumulative_return
2026-04-01,99995504,70019064,29976440,3,3,0,,-4.5e-05
2026-04-02,98973238,68567878,30405360,3,1,1,-0.010223,-0.010268
2026-04-03,102338558,68567878,33770680,3,0,0,0.034002,0.023386
2026-04-06,102719678,37764698,64954980,6,3,0,0.003724,0.027197
2026-04-07,100927279,37344019,63583260,6,1,1,-0.017449,0.009273
2026-04-08,109000010,4675120,104324890,9,3,0,0.079986,0.09
2026-04-09,106464182,3344612,103119570,9,1,1,-0.023264,0.064642
2026-04-10,111371122,3344612,108026510,9,0,0,0.04609,0.113711
2026-04-13,112830292,3344612,109485680,9,0,0,0.013102,0.128303
2026-04-14,113698321,13340771,100357550,8,0,1,0.007693,0.136983
2026-04-15,116518591,13340771,103177820,8,0,0,0.024805,0.165186
2026-04-16,111599711,13340771,98258940,8,0,0,-0.042215,0.115997
2026-04-17,114726291,13340771,101385520,8,0,0,0.028016,0.147263
2026-04-20,113115803,29445933,83669870,7,0,1,-0.014038,0.131158
2026-04-21,119840883,29445933,90394950,7,0,0,0.059453,0.198409
2026-04-22,121456801,41355251,80101550,6,0,1,0.013484,0.214568
2026-04-23,119054651,41355251,77699400,6,0,0,-0.019778,0.190547
2026-04-24,123314911,41355251,81959660,6,0,0,0.035784,0.233149
2026-04-27,124027131,43550411,80476720,6,1,1,0.005776,0.240271
2026-04-28,123599588,54485538,69114050,5,0,1,-0.003447,0.235996
2026-04-29,124988738,54485538,70503200,5,0,0,0.011239,0.249887
2026-04-30,121727815,66878835,54848980,4,0,1,-0.02609,0.217278
